WaferID,Batch,BatchIdx,Shift,F1_Tool,F1_Thickness_um,F1_TTV_um,F1_Warp_um,SCRAP_F1,F2_Tool,F2_RCA1_Temp_C,F2_RCA1_Time_s,F2_RCA2_Temp_C,F2_HFDip_Time_s,F2_Particles,F2_MetalContam_ppb,SCRAP_F2,F3_Tool,F3_OxTemp_C,F3_OxTime_min,F3_O2Flow_slm,F3_Thickness_nm,F3_ThicknessDev_nm,F3_Uniformity_pct,F3_KLA_Defects,SCRAP_F3,F4_Tool,F4_CVD_Temp_C,F4_Pressure_mTorr,F4_SiH4_sccm,F4_NH3_sccm,F4_SiN_Thickness_nm,F4_RefractiveIndex,SCRAP_F4,F5_Tool,F5_UVDose_mJ,F5_FocusOffset_nm,F5_BakeTemp_C,F5_DevTime_s,F5_CD_nm,F5_Overlay_nm,F5_KLA_Defects,SCRAP_F5,F6_Tool,F6_EtchTime_s,F6_EtchTemp_C,F6_RFPower_W,F6_CF4_sccm,F6_Pressure_mTorr,F6_Selectivity,F6_Uniformity_pct,F6_ProfileAngle_deg,F6_KLA_Defects,SCRAP_F6,F7_Tool,F7_O2Power_W,F7_StripTemp_C,F7_Time_s,F7_ResidualResist_pct,SCRAP_F7,F8_Tool,F8_Dose_ions_cm2,F8_Energy_keV,F8_Tilt_deg,F8_BeamCurrent_mA,F8_SheetRes_ohmSq,SCRAP_F8,F9_Tool,F9_PeakTemp_C,F9_RampRate_Cs,F9_SoakTime_s,F9_Activation_pct,SCRAP_F9,F10_Tool,F10_Pressure_psi,F10_Platen_rpm,F10_SlurryFlow_mlmin,F10_Time_s,F10_MRR_nmmin,F10_Dishing_nm,F10_Uniformity_pct,F10_KLA_Defects,SCRAP_F10,F11_Tool,F11_DCPower_kW,F11_Ar_sccm,F11_Pressure_mTorr,F11_CuThickness_nm,F11_Resistivity_uOhmcm,F11_StepCoverage_pct,SCRAP_F11,F12_Tool,F12_CurrentDensity_mAcm2,F12_BathTemp_C,F12_Additive_ppm,F12_PlatingTime_s,F12_VoidCount,F12_Overburden_nm,SCRAP_F12,F13_Tool,F13_TargetPower_kW,F13_N2_sccm,F13_Pressure_mTorr,F13_TaNThickness_nm,F13_StepCoverage_pct,F13_BarrierIntegrity,SCRAP_F13,Chem_HF_Reactivity,Chem_SC1_Efficiency,Chem_Cu_Potential_V,Chem_SiN_PlasmaReactivity,Chem_SelectivityIndex,TotalScraps,SCRAP_FINAL
11,BATCH_001,1,Morning,DISCO_DSC1,722.9,0.19,1.3,0,SEZ_DV_LL,78.4,630.0,78.3,27.0,7,0.412,0,TEL_INDY_PLUS,996.6,61.7,5.17,100.8,0.8,2.0,8,0,LAM_VECTOR,747.7,246.2,100.31,544.8,82.26,2.036,0,NIKON_NSR_S620,30.9,-37.1,109.8,63.4,86.14,10.4,8,0,LAM_9400_TCP,47.4,63.4,829.5,87.02,113.1,9.77,3.5,87.77,3,0,MATTSON_ASPEN2,1398.9,280.4,200.0,0.327,0,VARIAN_VIISTA,1022677341634472.0,40.15,7.46,16.09,80.75,0,TEL_RTP,1044.4,60.84,8.5,83.62,0,NOVELLUS_MOMENTUM,4.95,60.7,200.2,94.4,147.84,5.74,2.27,3,0,NOVELLUS_INOVA,10.85,54.0,3.63,155.2,1.753,84.67,0,SEMITOOL_EQUINOX,20.06,24.4,7.95,121.5,0,252.7,0,TEL_TELINDY,7.23,27.9,2.19,9.62,89.97,Good,0,45.0889,96.34,0.34,1.103,10.147,0,0
12,BATCH_001,1,Afternoon,DISCO_DSC1,725.6,1.6,1.5,0,SEZ_DV_LL,77.0,598.0,76.5,29.3,16,0.635,0,TEL_INDY_PLUS,1009.6,63.4,5.04,103.78,3.78,1.75,6,0,LAM_VECTOR,734.8,269.9,91.26,507.0,81.2,1.99,0,NIKON_NSR_S620,31.94,-30.8,108.4,57.5,89.94,22.0,3,1,LAM_9400_TCP,45.0,57.4,816.5,78.25,97.2,10.1,2.99,88.43,2,0,MATTSON_ASPEN2,1541.0,263.9,166.0,0,0,VARIAN_VIISTA,975111162194230.0,41.24,7.24,15.25,84.67,0,TEL_RTP,1053.6,72.8,10.7,81.87,0,NOVELLUS_MOMENTUM,4.94,57.4,186.5,99.3,124.78,4.82,2.8,7,0,NOVELLUS_INOVA,11.75,51.4,2.76,147.29,1.845,81.72,0,SEMITOOL_EQUINOX,20.75,23.4,7.24,128.7,0,277.3,0,TEL_TELINDY,7.82,32.6,1.7,10.58,89.95,Good,0,37.5997,91.0,0.3405,1.006,10.106,1,1
13,BATCH_001,1,Morning,DISCO_DSC1,722.4,0.89,2.0,0,SEZ_DV_LL,77.9,573.0,79.0,27.9,14,0.567,0,TEL_INDY_PLUS,997.5,60.4,5.26,104.04,4.04,2.52,6,0,LAM_VECTOR,728.1,229.9,102.01,465.2,75.59,2.023,0,NIKON_NSR_S620,30.29,29.1,108.6,60.7,92.77,2.2,6,0,LAM_9400_TCP,46.8,58.0,827.5,76.89,116.6,10.04,2.88,89.17,4,0,MATTSON_ASPEN2,1340.6,256.9,196.0,0.235,0,VARIAN_VIISTA,973508252776980.0,40.44,7.08,15.14,83.37,0,TEL_RTP,1065.6,74.77,11.3,92.81,0,NOVELLUS_MOMENTUM,4.64,60.4,199.3,96.9,148.62,5.59,2.72,4,0,NOVELLUS_INOVA,12.15,51.0,3.69,159.08,1.894,88.89,0,SEMITOOL_EQUINOX,21.27,24.9,8.53,112.1,0,304.7,0,TEL_TELINDY,8.93,27.6,1.96,9.98,92.17,Good,0,38.3003,92.99,0.3408,1.117,9.762,0,0
14,BATCH_001,1,Night,DISCO_DSC1,729.4,0.96,3.5,0,SEZ_DV_LL,79.1,526.0,77.6,27.7,19,0.599,0,TEL_INDY_PLUS,1017.9,56.3,4.84,98.49,1.51,3.52,4,0,LAM_VECTOR,733.2,232.5,104.68,471.7,80.69,2.025,0,NIKON_NSR_S620,31.54,23.7,108.6,57.7,88.56,8.0,4,0,LAM_9400_TCP,45.5,57.0,788.8,83.07,90.6,10.17,3.07,87.41,4,0,MATTSON_ASPEN2,1543.7,240.5,206.0,0.019,0,VARIAN_VIISTA,1020042078834506.0,40.9,6.98,15.67,80.5,0,TEL_RTP,1037.3,78.51,10.0,79.75,1,NOVELLUS_MOMENTUM,4.59,58.2,166.1,99.7,131.15,9.23,2.38,3,0,NOVELLUS_INOVA,11.89,49.7,3.14,147.83,1.824,90.63,0,SEMITOOL_EQUINOX,19.96,25.1,7.81,109.0,0,289.6,0,TEL_TELINDY,8.18,32.5,1.95,11.36,89.9,Good,0,37.1384,89.29,0.34,0.939,10.316,1,1
15,BATCH_001,1,Morning,DISCO_DSC1,723.5,0.29,7.4,0,SEZ_DV_LL,74.7,615.0,79.3,33.1,10,0.168,0,TEL_INDY_PLUS,993.3,53.4,5.15,93.43,6.57,2.1,6,0,LAM_VECTOR,723.7,235.7,102.71,497.8,76.35,2.02,0,NIKON_NSR_S620,29.25,6.2,107.0,61.8,91.04,3.4,4,0,LAM_9400_TCP,42.3,60.7,823.9,79.83,96.1,9.92,2.58,89.21,4,0,MATTSON_ASPEN2,1583.1,260.3,194.0,0.342,0,VARIAN_VIISTA,987608091145817.0,38.44,6.7,16.14,81.74,0,TEL_RTP,1055.2,67.83,9.5,85.54,0,NOVELLUS_MOMENTUM,4.75,58.1,201.8,91.2,119.16,18.55,2.27,5,0,NOVELLUS_INOVA,11.37,48.0,3.82,135.32,1.736,79.19,0,SEMITOOL_EQUINOX,22.9,24.8,7.44,135.7,0,315.9,0,TEL_TELINDY,8.45,33.7,1.69,9.88,87.43,Good,0,41.5836,84.11,0.3417,1.01,9.817,0,0
16,BATCH_001,1,Afternoon,DISCO_DSC1,729.9,1.75,1.1,0,SEZ_DV_LL,77.8,646.0,79.0,31.7,14,0.573,0,TEL_INDY_PLUS,1009.5,64.3,5.05,109.27,9.27,2.67,8,1,LAM_VECTOR,759.8,229.6,98.92,474.9,86.28,2.014,1,NIKON_NSR_S620,34.53,-35.6,107.2,64.3,90.21,11.9,6,0,LAM_9400_TCP,47.5,62.4,781.5,79.01,93.9,9.92,2.59,87.05,6,0,MATTSON_ASPEN2,1600.9,260.5,180.0,0.039,0,VARIAN_VIISTA,955625829018532.0,40.49,6.95,14.82,85.5,0,TEL_RTP,1064.0,68.5,10.9,90.85,0,NOVELLUS_MOMENTUM,4.28,61.1,205.2,79.8,136.13,-0.12,2.38,4,0,NOVELLUS_INOVA,11.97,57.7,3.19,146.96,1.81,90.92,0,SEMITOOL_EQUINOX,17.91,25.4,8.25,116.0,0,300.1,0,TEL_TELINDY,7.59,31.1,1.77,10.24,91.92,Good,0,43.7641,92.96,0.3386,0.947,9.899,2,0
17,BATCH_001,1,Night,DISCO_DSC1,727.3,0.51,2.6,0,SEZ_DV_LL,80.8,594.0,75.3,31.6,8,0.702,0,TEL_INDY_PLUS,1002.8,59.8,5.12,101.83,1.83,3.21,6,0,LAM_VECTOR,762.7,218.1,108.53,523.1,80.64,2.05,0,NIKON_NSR_S620,29.87,-5.5,111.3,67.3,90.73,1.5,4,0,LAM_9400_TCP,46.6,55.3,822.9,76.15,99.7,10.19,2.38,90.33,5,0,MATTSON_ASPEN2,1519.7,253.4,188.0,0,0,VARIAN_VIISTA,981989831026699.0,41.75,6.91,15.52,80.27,0,TEL_RTP,1045.2,70.3,8.0,81.13,0,NOVELLUS_MOMENTUM,4.4,56.7,202.0,77.4,123.32,0.21,1.37,6,0,NOVELLUS_INOVA,13.05,48.5,3.11,156.75,1.768,81.82,0,SEMITOOL_EQUINOX,21.09,26.3,8.03,135.0,1,307.3,0,TEL_TELINDY,7.98,29.6,2.1,10.26,90.07,Good,0,35.2285,88.16,0.3407,1.027,10.116,0,1
18,BATCH_001,1,Night,DISCO_DSC1,726.1,0.86,0.8,0,SEZ_DV_LL,80.0,608.0,78.1,26.5,11,0.357,0,TEL_INDY_PLUS,1003.1,61.3,4.37,103.68,3.68,2.39,6,0,LAM_VECTOR,753.3,234.8,104.38,516.8,80.93,2.01,0,NIKON_NSR_S620,31.88,94.4,111.4,62.7,91.18,11.3,5,0,LAM_9400_TCP,42.9,63.2,849.8,77.72,90.9,9.74,3.03,87.69,6,0,MATTSON_ASPEN2,1500.8,254.5,186.0,0,0,VARIAN_VIISTA,966593661761398.0,40.66,7.14,15.25,79.84,0,TEL_RTP,1038.3,65.11,10.3,79.77,1,NOVELLUS_MOMENTUM,4.1,62.2,220.9,95.2,136.92,11.02,2.17,7,0,NOVELLUS_INOVA,11.68,51.5,3.06,140.1,1.817,82.37,0,SEMITOOL_EQUINOX,19.94,24.5,7.91,126.1,0,290.2,0,TEL_TELINDY,7.87,29.4,2.22,10.8,89.56,Good,0,44.8214,90.5,0.34,1.013,9.625,1,0
19,BATCH_001,1,Morning,DISCO_DSC1,725.5,0.41,7.0,0,SEZ_DV_LL,78.0,512.0,77.5,31.5,4,0.584,0,TEL_INDY_PLUS,1009.5,63.3,5.13,99.11,0.89,2.9,4,0,LAM_VECTOR,729.3,258.3,105.33,519.6,75.41,1.98,0,NIKON_NSR_S620,29.21,-30.3,109.9,65.8,91.66,18.7,0,1,LAM_9400_TCP,45.6,60.5,797.1,77.38,98.9,9.98,2.66,90.12,4,0,MATTSON_ASPEN2,1531.3,256.8,183.0,0.432,0,VARIAN_VIISTA,1052037875725953.0,39.64,6.83,14.02,75.85,0,TEL_RTP,1046.6,92.27,11.4,87.55,0,NOVELLUS_MOMENTUM,5.1,56.8,190.0,94.1,145.12,15.76,2.9,8,0,NOVELLUS_INOVA,12.13,50.5,3.42,148.27,1.852,78.15,0,SEMITOOL_EQUINOX,18.29,22.8,8.46,129.0,0,342.1,0,TEL_TELINDY,7.67,31.7,1.9,10.94,89.44,Good,0,41.3329,98.0,0.3389,0.991,9.814,1,1
20,BATCH_001,1,Night,DISCO_DSC1,727.9,0.55,0.8,0,SEZ_DV_LL,78.7,626.0,79.4,34.6,10,0.254,0,TEL_INDY_PLUS,1010.8,61.0,5.2,99.56,0.44,2.55,8,0,LAM_VECTOR,728.5,263.1,101.14,526.6,79.01,2.04,0,NIKON_NSR_S620,30.56,17.6,108.4,64.6,88.63,13.4,5,0,LAM_9400_TCP,47.4,57.5,832.3,83.17,110.6,10.06,4.14,88.89,5,0,MATTSON_ASPEN2,1444.6,261.6,176.0,0.073,0,VARIAN_VIISTA,1028989594519218.0,38.36,7.05,14.98,78.95,0,TEL_RTP,1057.1,76.55,10.3,89.51,0,NOVELLUS_MOMENTUM,4.9,61.8,201.5,93.8,151.45,2.27,2.18,5,0,NOVELLUS_INOVA,11.94,49.1,3.63,146.94,1.755,87.43,0,SEMITOOL_EQUINOX,21.2,25.1,8.24,129.8,0,328.9,0,TEL_TELINDY,6.58,27.7,2.16,10.36,88.13,Good,0,37.7158,94.51,0.3407,1.094,10.198,0,0
21,BATCH_001,1,Night,DISCO_DSC1,726.3,1.43,2.0,0,SEZ_DV_LL,77.3,536.0,78.2,30.8,9,0.459,0,TEL_INDY_PLUS,1004.0,64.3,5.02,106.18,6.18,3.35,4,0,LAM_VECTOR,748.4,243.4,94.44,501.3,76.82,2.014,0,NIKON_NSR_S620,28.22,-19.1,107.8,64.5,88.17,7.1,5,0,LAM_9400_TCP,41.8,57.7,845.6,82.31,109.8,10.02,2.68,89.14,5,0,MATTSON_ASPEN2,1481.1,228.2,173.0,0.307,0,VARIAN_VIISTA,942525103005151.0,42.26,7.31,15.06,84.06,0,TEL_RTP,1059.5,75.63,10.7,86.31,0,NOVELLUS_MOMENTUM,4.61,59.2,192.0,81.1,133.96,9.2,2.41,7,0,NOVELLUS_INOVA,11.62,49.9,3.3,142.6,1.695,86.24,0,SEMITOOL_EQUINOX,20.31,25.4,8.39,105.6,0,340.7,0,TEL_TELINDY,7.54,27.7,2.19,10.73,89.43,Good,0,37.9487,95.01,0.3402,1.108,10.203,0,0
22,BATCH_001,1,Morning,DISCO_DSC1,721.3,0.0,9.3,0,SEZ_DV_LL,79.0,600.0,79.6,30.3,7,0.207,0,TEL_INDY_PLUS,988.1,56.2,5.14,93.5,6.5,0.86,5,0,LAM_VECTOR,745.7,284.7,100.58,447.7,79.42,2.006,0,NIKON_NSR_S620,29.89,26.7,112.1,65.5,92.98,2.2,4,0,LAM_9400_TCP,48.5,63.5,769.2,83.17,112.1,9.89,2.95,87.62,7,0,MATTSON_ASPEN2,1474.2,249.5,150.0,0.662,1,VARIAN_VIISTA,1033651158973611.0,42.42,7.12,16.52,77.66,0,TEL_RTP,1040.5,79.52,9.6,80.95,0,NOVELLUS_MOMENTUM,4.91,63.5,215.2,97.1,150.9,5.63,2.48,3,0,NOVELLUS_INOVA,10.56,52.1,3.95,154.22,1.797,81.88,0,SEMITOOL_EQUINOX,18.41,24.4,7.55,110.0,0,351.9,0,TEL_TELINDY,8.43,26.8,1.84,10.07,90.39,Good,0,45.2232,95.5,0.3389,1.018,9.595,1,0
